headline, anger, disgust, fear, joy, sadness, surprise
"Donald and Goydos share Sony lead", 0, 0, 0, 32, 0, 5
"U.S. and Iraqis are wrangling over war plans", 32, 0, 56, 0, 25, 17
"Sea search for missing Microsoft scientist", 0, 0, 29, 0, 48, 16
"Iran to Hit US Interests if Attacked", 30, 7, 60, 0, 17, 3
"Blair: Terror battle will be long", 22, 0, 62, 0, 34, 0
"Bear cub returned to the wilderness", 0, 0, 3, 54, 0, 12
"Carrefour sales growth falls short", 0, 0, 7, 0, 26, 10
"Allied with democrats, Lieberman easily aligns with Republicans", 5, 16, 0, 0, 17, 26
"In the Rockies, pines die and bears feel it", 12, 5, 22, 0, 45, 16
"Iran to strike US interests if attacked", 38, 7, 47, 0, 22, 4
"Nipple covers, other star secrets", 7, 29, 0, 2, 0, 21
"Apple: no iTunes for you if you have Vista!", 8, 5, 0, 0, 10, 37
"Smokestacks in a white wilderness divide Iceland", 0, 0, 9, 0, 34, 6
"That'll cost ya", 34, 0, 16, 0, 0, 2
"Botched hangings in Iraq speed sectarianism", 29, 10, 50, 4, 38, 6
"Male sweat raises female hormones", 0, 14, 0, 21, 0, 58
"7 GOP senators to force debate on troops in Iraq", 11, 4, 8, 27, 11, 13
"Bangladesh ends curfew amid unrest", 19, 0, 38, 43, 19, 15
"Italy's dispute with US over Iraq shooting", 65, 7, 13, 0, 16, 19
"Here come the Globes!", 0, 0, 0, 59, 0, 16
"Snow causes transport chaos in Britain", 5, 1, 35, 0, 41, 3
"Snow causes airport closures in Britain", 4, 0, 34, 0, 43, 5
"Second opinion: girl or boy? as fertility technology advances, so does an ethical debate", 9, 15, 15, 5, 14, 28
"Heavy snow causes travel chaos and shuts schools", 4, 0, 44, 9, 39, 19
"Barbaro's legacy: saving other horses", 0, 0, 6, 30, 22, 11
"Luxury digs in South Carolina's Lowcountry", 0, 0, 0, 28, 0, 10
"Dozens killed in Baghdad bombing", 17, 2, 67, 0, 92, 15
"Ice storms kill 21 across nation", 8, 0, 54, 0, 93, 16
"De Villiers takes over Dakar lead", 1, 0, 0, 42, 0, 10
"Vietnam becomes WTO's 150th member", 4, 4, 0, 47, 2, 5
"South African trio share advantage", 0, 0, 0, 39, 0, 8
"Observatory: poison begets poison", 10, 9, 27, 0, 26, 17
"Action intensity boosts vision", 0, 0, 0, 41, 0, 39
"Why the smell of a man's armpit is a turn-on", 0, 31, 0, 16, 0, 52
"Nokia 5300 Xpress Music", 0, 0, 0, 22, 0, 5
"Dell to cut bonuses, trim management", 0, 0, 12, 0, 41, 13
"Second drop in cancer deaths could point to a trend, researchers say", 0, 0, 9, 35, 5, 36
"TV game shows go interactive", 0, 0, 0, 33, 0, 6
"Boy missing since 2002 found alive", 0, 0, 10, 82, 17, 22
"US, North Korea signed nuclear memo", 0, 0, 28, 42, 0, 14
"Russia honors Sputnik designer", 0, 0, 0, 66, 0, 12
"In Kenya's capital, a sense that danger is ever stronger", 0, 0, 66, 0, 29, 20
"Bill, thanks for the RSA memories... and laughs", 0, 0, 0, 44, 4, 4
"Friendly fire pilot 'experienced'", 24, 7, 13, 0, 27, 21
"MySpace welcomes French friends", 0, 0, 3, 50, 0, 2
"Airlines: UK airport runway unsafe", 6, 2, 68, 0, 16, 16
"The amounts you have to pay for a bomb scare", 15, 24, 75, 0, 22, 6
"In Egypt, Rice speaks softly", 0, 0, 10, 11, 0, 9
"Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead", 9, 0, 16, 0, 74, 14
"Senate votes to revoke pensions", 13, 0, 18, 0, 35, 14
"EarthLink CEO dies at age 49", 0, 0, 15, 0, 87, 38
"Software giant SAP misses target", 0, 0, 10, 0, 45, 16
"Vital signs: mental abilities: folic acid may improve thinking skills", 0, 0, 0, 40, 0, 43
"De Villiers stretches overall lead", 0, 0, 0, 38, 0, 8
"Families celebrate return of sons", 0, 0, 2, 84, 6, 14
"China detains 2 after body parts found in mail", 6, 53, 72, 15, 21, 23
"North Korea ready to discuss nuke disarmament", 5, 0, 21, 42, 6, 17
"For women, nothing's like the smell of men's sweat", 0, 16, 0, 13, 0, 56
"Nadal wants Australian Open crown", 0, 0, 0, 21, 0, 0
"Beijing journal: Olympic construction unearths ancient treasure trove", 0, 0, 0, 47, 0, 34
"Chinese president arrives in Mozambique, African tour nearly over", 0, 0, 4, 33, 5, 16
"Reclusive 'Mockingbird' author attends show", 0, 0, 0, 18, 0, 6
"Asia near pact on energy, security", 0, 0, 3, 36, 0, 7
"Philippine anti-terror law delayed until June", 17, 0, 32, 0, 32, 13
"Ex-suspect slams anti-terror laws", 44, 15, 19, 15, 18, 20
"Study detects a gene linked to Alzheimer's", 0, 0, 18, 40, 23, 24
"Panda cub makes her debut", 0, 0, 0, 59, 0, 7
"Harris haul puts South Africa on top", 0, 0, 0, 61, 0, 10
"Weight-loss drug to be sold over the counter", 0, 0, 7, 33, 7, 16
"Beckham outlines reasons for move", 0, 0, 0, 12, 2, 7
"Study finds gritty air raises heart disease risk in older women", 0, 0, 30, 3, 23, 35
"Venezuela, Iran fight U.S. dominance", 60, 12, 24, 16, 17, 5
"'Housewives' star Marcia Cross on bed rest", 0, 0, 4, 0, 25, 16
"Blog: Here come the Globes!", 0, 0, 0, 49, 0, 11
"Greek police hunt embassy attackers", 48, 2, 22, 4, 13, 0
"Apple warns iTunes users to wait on Vista", 0, 0, 5, 0, 12, 21
"Tsunami fears ease after quake", 0, 0, 79, 13, 13, 0
"China considers Eurobond reserves", 0, 0, 7, 30, 0, 13
"Underarm bowls them over", 0, 5, 0, 6, 0, 14
"At least 130 die as blast levels Baghdad market", 24, 17, 69, 0, 90, 17
"New McCain team made attack ads he once faulted", 19, 13, 19, 0, 15, 16
"Deaths as bird flu flares in Asia", 0, 0, 79, 0, 60, 12
"Hamas, Fatah leaders pledge to meet until they reach agreement", 0, 0, 10, 50, 0, 15
"Officers had 'rapport' with alleged abductor", 35, 41, 16, 0, 23, 21
"No e-Book for Harry Potter VII", 2, 0, 3, 8, 37, 11
"Review: Nokia 5300 Xpress Music", 0, 0, 0, 20, 0, 4
"'Can't do this anymore'? Not Jack", 0, 0, 0, 3, 0, 11
"Black hole triplets spotted", 0, 0, 11, 17, 0, 42
"Israel weighs old city project webcast", 4, 0, 6, 13, 1, 23
"Indonesian bird flu deaths hit 61", 0, 0, 58, 0, 86, 16
"Somali refugees cut off from aid", 14, 0, 16, 1, 73, 15
"Microsoft downplays Vista speech-recognition hack", 3, 0, 7, 17, 11, 3
"Next island hot spot: St. Lucia", 0, 0, 0, 49, 0, 15
"Italy to hold no-show trial of Bronx GI in Iraq slay", 28, 21, 25, 17, 17, 15
"Rescued boys parents hail 'miracle'", 0, 0, 11, 73, 10, 17
"Canadians tracked in child porn ring", 50, 58, 18, 17, 19, 22
"Teen hacks Venezuelan government Web sites", 27, 0, 14, 0, 13, 44
"Russia plans new ICBMs, nuclear subs", 18, 0, 61, 0, 21, 15
"Gere cheers sex workers in AIDS fight", 1, 8, 10, 34, 7, 18
"Study: Male sweat causes female hormones to rise", 0, 11, 0, 17, 0, 59
"Collision on icy road kills 7", 4, 0, 47, 0, 85, 1
"Surprise: China cuts price of gas", 0, 0, 5, 54, 0, 42
"What the Godfather of Soul meant to me", 0, 0, 0, 15, 9, 0
"New Mars orbiter spots Pathfinder landing site", 0, 0, 0, 48, 0, 18
"Mass Venezuela opposition rally", 27, 0, 15, 14, 3, 16
"Glamour -- and 'Borat' -- at Golden Globes", 0, 6, 0, 60, 0, 13
"Terror officials see Al Qaeda chiefs regaining power", 13, 11, 86, 0, 16, 3
"Ivrea journal: In Italian town, a civics lesson from pelting neighbors", 0, 5, 0, 3, 0, 25
"Iraqi sunni lands show new oil and gas promise", 5, 7, 17, 48, 0, 21
"Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle", 33, 3, 8, 39, 0, 16
"A film star in Kampala, conjuring aminos ghost", 0, 0, 29, 9, 0, 22
"Militants attack U.S. base in Iraq", 37, 9, 84, 0, 26, 2
"North Africa feared as staging ground for terror", 18, 17, 88, 0, 23, 7
"Iran says Sunnis, using Pakistan as base, planned fatal bombing", 19, 9, 83, 0, 16, 16
"Anglicans rebuke U.S. branch on same-sex unions", 23, 15, 12, 0, 17, 12
"Homemade bombs kill 65 on Indian train", 23, 10, 60, 0, 94, 21
"Al Qaeda chiefs are seen to regain power", 15, 8, 82, 0, 20, 6
"Chvez threatens to jail violators of price controls", 53, 1, 45, 5, 2, 13
"Bush declares Iran's arms role in Iraq is certain", 24, 3, 53, 0, 27, 14
"Accord on North Korea is announced", 0, 0, 5, 60, 0, 12
"U.S. says powerful Iraqi cleric is living in Iran", 9, 0, 40, 0, 6, 15
"Baghdad plan is a success, Iraq prime minister tells Bush", 14, 15, 17, 45, 16, 17
"Iraqi sunni lands show new oil and gas promise", 0, 5, 8, 49, 0, 12
"Dispute over Iraqi cleric, said to have gone to Iran", 29, 2, 28, 0, 2, 22
"Planning seen in Iraqi attacks on U.S. copters", 29, 2, 54, 0, 37, 27
"In the world of life-saving drugs, a growing epidemic of deadly fakes", 15, 16, 48, 15, 62, 34
"Basics: a mammal in winter with a furnace of her own", 0, 0, 0, 20, 0, 36
"Books on science: The problems in modeling nature, with its unruly natural tendencies", 0, 0, 7, 0, 8, 12
"Believing scripture but playing by science's rules", 0, 0, 0, 8, 0, 26
"A familiar and prescient voice, brought to life", 0, 0, 0, 64, 0, 18
"Findings : A cool $25 million for a climate backup plan", 15, 15, 16, 25, 16, 28
"Call it serendipity: a missing piece of Washington's war tent is found", 2, 0, 3, 52, 4, 37
"Free Will: Now you have it, now you don't", 4, 0, 14, 0, 16, 27
"Archaeologists find signs of early chimps' tool use", 0, 0, 2, 23, 0, 64
"Wizardry at Harvard: physicists move light", 0, 0, 2, 31, 0, 64
"The summit - a slap in the face of the Palestinians", 18, 34, 17, 0, 32, 9
"Moscow says Palestine-Israeli contacts key to Mideast peace", 4, 2, 4, 37, 17, 8
"Mideast summit edns with little progress", 8, 8, 9, 12, 36, 1
"India decries 'an act of sabotage'", 34, 12, 40, 0, 28, 20
"Pakistan-India peace talks planned despite bombings", 4, 4, 24, 58, 18, 22
"Czechs, Poles get missile warning", 11, 4, 68, 0, 6, 23
"Russia warns US against missile bases in East Europe", 48, 13, 53, 0, 0, 0
"Cheney starts visit to Japan, Australia", 0, 0, 0, 5, 0, 2
"China: Cheney shores up the trilateral alliance", 12, 12, 15, 24, 13, 3
"Iraq insurgents attack US base", 27, 3, 64, 0, 26, 9
"US soldiers die in day of violence", 32, 14, 28, 0, 89, 0
"Iraqi suicide attack kills two US troops as militants fight purge", 28, 16, 54, 0, 69, 8
"Iran reneges on nuclear payments to Russia", 21, 14, 30, 0, 6, 15
"Top Colombia official resigns", 4, 0, 11, 8, 31, 19
"Colombia FM resigns after relatives' arrests for militia links", 15, 12, 34, 14, 35, 31
"Foreign minister of Colombia quits in scandal", 7, 25, 14, 25, 21, 23
"New Zealand unlikely to allow crippled Japanese whaler", 11, 1, 5, 8, 35, 14
"Damaged Japanese whaling ship may resume hunting off Antarctica", 11, 10, 20, 30, 31, 12
"Japanese whaling ship won't accept help", 6, 18, 7, 0, 12, 15
"Iran top N-envoy heads for Vienna for nuke talks", 2, 0, 22, 29, 11, 11
"Victims of Air India still wait for justice", 49, 17, 15, 0, 54, 17
"Kanishka bombing case: Inquiry judge threatens to quit", 23, 25, 20, 0, 12, 13
"Judge threatens to shut down Air-India inquiry", 46, 2, 14, 0, 16, 11
"Royal rescues presidential hopes with commanding performance", 0, 0, 3, 42, 0, 20
"Royal seeks to revive French bid", 0, 0, 0, 16, 0, 3
"Sarkozy comfort zone offers a royal opportunity", 0, 0, 0, 41, 0, 14
"Hicks first in line for trial, Bush says", 9, 2, 12, 1, 12, 10
"Australia tells Bush to speed up Guantanamo trial", 26, 17, 19, 27, 20, 36
"Howard presses Bush on terror suspect", 15, 6, 48, 12, 14, 17
"France ends toxic alert at Canadian embassy in Paris", 0, 0, 36, 35, 0, 12
"Paris police investigate package at Canadian embassy", 6, 4, 37, 8, 12, 7
"False alarm at Canadian embassy in Paris", 2, 19, 23, 16, 3, 9
"Afghan forces retake town that was overrun by Taliban", 16, 7, 37, 44, 14, 18
"Taliban seize rural district in southwest as police flee", 27, 12, 51, 0, 41, 19
"Afghan poppy war alienates farmers", 10, 0, 33, 0, 43, 6
"Will North Korea honor pledge this time?", 0, 5, 12, 14, 1, 11
"Kim Jong-il bans Japanese cars in North Korea", 18, 15, 8, 0, 17, 35
"Iran vs. North Korea: not all enemies are equal", 26, 9, 24, 0, 12, 0
"Catholic archbishop outlines Anglican merger hopes", 0, 0, 0, 26, 0, 19
"Anglican and Catholic churches could merge", 0, 0, 0, 40, 0, 27
"US helicopter crash kills 8 troops in Afghanistan", 15, 15, 32, 0, 91, 2
"Eight US soldiers killed in Zabul helicopter crash", 15, 16, 18, 0, 90, 2
"Arroyo lauds passage of anti-terror bill", 2, 0, 8, 52, 1, 14
"House passes anti-terrorism measure Manila", 2, 2, 5, 49, 1, 15
"Livingstone's transport empire may extend", 0, 0, 9, 37, 0, 9
"London is pace-setter on congestion toll, says mayor", 5, 3, 7, 27, 10, 6
"Protest greets congestion charge's westward push", 16, 11, 9, 15, 8, 2
"Thailand attacks kill three, injure 70", 22, 10, 42, 0, 76, 16
"Thai Govt moves to smooth over relations with south", 0, 0, 2, 43, 2, 15
"Bombings say Muslim rebels won't negotiate", 48, 15, 49, 0, 26, 15
"Roots of autism more complex than thought", 0, 0, 15, 1, 25, 45
"Largest ever autism study identifies two genetic culprits", 0, 0, 12, 16, 21, 30
"Canadian breakthrough offers hope on autism", 0, 0, 6, 48, 10, 18
"Beware of peanut butter pathogens", 0, 0, 37, 6, 17, 16
"Experts offer advice on salmonella", 0, 0, 23, 24, 2, 4
"Experts issue new heart disease guidelines for women", 0, 0, 16, 37, 24, 16
"For women, aspirin a day could keep stroke away", 0, 0, 7, 41, 6, 21
"High cholesterol raises stroke risk healthy women", 0, 0, 45, 0, 17, 23
"Cooked chicken breasts join tainted-food recalls", 16, 4, 44, 30, 13, 21
"Ready to eat chicken breasts recalled due to suspected listeria", 16, 5, 52, 30, 16, 28
"Fully-cooked chicken strips recalled ", 10, 3, 19, 14, 16, 43
"Committee debates cancer vaccine plan", 3, 0, 10, 15, 11, 32
"Stop cancer with a shot", 0, 0, 4, 41, 9, 25
"1 mln birds to be vaccinated from bird flu near Moscow", 0, 0, 19, 42, 5, 34
"Thousands tested after Russian H5N1 outbreak", 0, 0, 61, 23, 26, 5
"Russian bird flu outbreak is deadly Asian strain", 0, 0, 71, 0, 18, 22
"Bernard Matthews to lay off up to 500 workers", 15, 10, 20, 0, 64, 38
"Matthews lays off 130 turkey workers", 13, 12, 17, 0, 53, 29
"Reopening bird flu-hitfactory ignores risks - poultryman", 28, 11, 51, 1, 16, 14
"Goodbye to girlhood", 0, 0, 7, 0, 21, 7
"Media cited for showing girls as sex objects", 50, 45, 12, 14, 29, 15
"Sexualisation 'harms' young girls", 23, 16, 11, 0, 19, 6
"A shot in the arm", 0, 0, 53, 0, 9, 3
"Thousands line up to get late flu shots", 2, 0, 41, 25, 6, 9
"King county offering some free flu vaccines", 0, 0, 9, 49, 5, 23
"Bush vows cooperation on health care", 0, 7, 10, 60, 10, 0
"Health returns as hot issue in '08 race", 0, 2, 8, 39, 3, 15
"Small-business owners find Bush health plan appealing", 0, 0, 0, 58, 0, 14
"Pediatricians say more cord blood is needed now", 0, 0, 23, 0, 12, 13
"Whether to save cord blood can be puzzle for parents", 0, 0, 13, 8, 0, 29
"Retinal implant helping blind people see again", 0, 0, 0, 80, 2, 24
"Indonesia will not share flu samples", 18, 18, 11, 0, 30, 39
"Health Canada issues advice on canned tuna", 0, 0, 26, 26, 0, 16
"Cholesterol link in diabetes study", 0, 0, 22, 13, 28, 23
"Pig cells hope for diabetes cure", 0, 0, 3, 35, 2, 38
"Sick hearts switch on a fetal gene", 0, 0, 14, 9, 25, 29
"Foetal mechanism helps heart failure", 0, 0, 22, 24, 15, 38
"Planned cesareans not risk-free, group warns", 0, 0, 61, 0, 15, 11
"Scientists tout cocoa's health benefits", 0, 0, 0, 60, 0, 20
"Feeding your brain: new benefits found in chocolate", 0, 0, 0, 70, 0, 35
"Some cocoa may improve brain blood flow", 0, 0, 0, 71, 0, 41
"Lawyer for deceased Nazi-era collaborator Papon vows to bury him ", 23, 12, 16, 16, 22, 10
"Cocoa could be antidote to age-related diseases, says new study", 0, 0, 2, 66, 2, 45
"China denies reports of North Korean apology", 13, 3, 11, 0, 20, 23
"Hungarian opposition calls for vote after violence escalates", 38, 17, 33, 0, 14, 7
"AU regrets Sudan's expulsion of UN envoy ", 16, 17, 10, 0, 39, 10
"Bush officials: no big move in Iraq plan ", 20, 13, 24, 0, 19, 0
"Opponent is put on the spot over remarks about Clinton", 4, 7, 0, 13, 0, 17
"House ethics panel talks to Hastert aide", 0, 0, 0, 29, 0, 12
"BellSouth says profit rises 30% on cingular earnings", 0, 0, 0, 57, 0, 15
"Enron boss gets 24-year sentence", 18, 18, 5, 14, 35, 17
"Sony apologizes for battery recall", 4, 8, 4, 20, 13, 10
"Google unveils do-it-yourself search engine", 0, 0, 0, 42, 0, 38
"Firefox 2.0 hits the Web", 0, 0, 0, 54, 0, 17
"Oracle World opens with Dell unveiling AMD-powered computers", 0, 0, 0, 56, 0, 22
"Seahawks' QB Hasselbeck out 2-4 weeks", 0, 0, 0, 6, 31, 10
"Marathon winner released from hospital ", 0, 0, 3, 63, 7, 4
"Punter charged with stabbing asks to live outside state", 46, 18, 17, 0, 25, 24
"Allmendinger joining Toyota team in NASCAR ", 0, 0, 0, 47, 0, 14
"Trying to assess the damage in Cleveland ", 0, 0, 6, 0, 38, 2
"Bryant's boot may have salvaged Bucs' season", 0, 0, 0, 39, 0, 17
"This week in auto racing October 27 - October 29", 0, 0, 0, 2, 0, 1
"Merriman violation stuns ex-teammate", 6, 13, 9, 0, 15, 35
"Bruce revells in upset", 14, 0, 0, 0, 14, 8
"Steelers' Roethlisberger has concussion", 0, 0, 4, 0, 62, 12
"Arthurs upsets Robredo in first round at the St. Petersburg Open", 10, 0, 0, 22, 15, 29
"Mbeki: 2010 World Cup Planning on Track", 0, 0, 0, 35, 0, 2
"Clinical Everton show Moyes means business", 0, 0, 0, 12, 0, 8
"MS Adds Office 2007 to Vista Coupon Program", 0, 0, 0, 42, 0, 22
"One search does not fit all", 0, 3, 0, 0, 9, 10
"Apple's dark secret? The 39% claim", 4, 0, 4, 0, 9, 23
"Bad weather cancels men's downhill", 0, 0, 5, 2, 51, 12
"Cool millions for YouTube founders", 0, 0, 0, 67, 0, 18
"London market a shopping, dining haven", 0, 0, 0, 49, 0, 4
"'Jackass' star marries childhood friend The secrets people reveal", 0, 0, 0, 52, 0, 29
"Audio Slide Show: A love story lasting 61 years", 0, 0, 0, 68, 0, 30
"Microsoft to release next generation phone", 0, 0, 0, 51, 0, 33
"Body Shop's Roddick has Hepatitis C", 0, 0, 18, 0, 48, 43
"Teen allegedly armed by mom turns self in", 8, 7, 38, 6, 25, 38
"Oxfam: action needed for Chad", 0, 0, 1, 11, 0, 8
"Violence continues at disputed holy site", 31, 2, 31, 0, 38, 2
"Storm leaves behind major travel troubles", 7, 0, 33, 0, 53, 6
"3 U.S. troops killed hunting weapons cache", 13, 2, 30, 0, 74, 1
"China's 'Friends' highlights Web freedoms", 4, 5, 6, 48, 8, 16
"NATO: Afghanistan peace 'by 2009'", 0, 0, 11, 67, 17, 19
"Alaska's northern lights captivate Japanese", 0, 0, 0, 52, 0, 28
"Smith can't be buried until hearing", 13, 16, 0, 0, 59, 21
"Spacewalker sets new U.S. record", 0, 0, 0, 67, 0, 23
"Fortune: India the Superpower? Think again", 0, 2, 12, 22, 8, 46
"Kerry blasts 'escalation of misguided war'", 44, 17, 29, 16, 28, 16
"Anna Nicole claimant: A prince of a guy?", 0, 0, 0, 1, 22, 27
"'Ronnie' and Eto'o hug and make up", 0, 0, 0, 52, 0, 8
"Best of the Chicago Auto Show", 0, 0, 0, 40, 0, 11
"'Grey's,' 'Betty,' 'Scrubs' get boost", 0, 0, 0, 51, 0, 11
"Massive mud traps dozens of families", 6, 0, 56, 0, 76, 32
"Edwards blogger quits, becomes journalistic martyr", 0, 0, 14, 8, 34, 40
"Town packs gym to mourn 10 killed in fire", 4, 0, 20, 0, 82, 10
"Spain ahead although Nadal is out", 0, 0, 7, 46, 7, 28
"ECB holds rates at 3.5 percent", 0, 0, 0, 18, 0, 5
"Iran rejects US claims of supplying weapons in Iraq", 27, 15, 34, 10, 18, 9
"Jakarta begins disinfection", 0, 0, 18, 44, 6, 11
"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end", 0, 0, 2, 22, 44, 15
"Apple revs up Mac attacks on Vista", 5, 26, 5, 12, 11, 23
"Fear hinders black marrow donation", 0, 0, 51, 0, 42, 11
"Texan allegedly joined Somalia rebel plot", 45, 9, 19, 0, 30, 29
"U.S. to allow 7,000 Iraqi refugees", 4, 0, 12, 33, 14, 28
"Japan: Whaling activists 'terrorists'", 29, 22, 43, 12, 10, 5
"'Hannibal' bites the big one", 0, 2, 13, 5, 0, 28
"Women protest Pakistan demolition", 36, 26, 13, 0, 26, 31
"Wii news for gamers", 0, 0, 0, 43, 0, 32
"Democrats look beyond symbolic vote on Iraq", 6, 8, 6, 28, 3, 15
"Portugal to vote on abortion laws", 2, 8, 10, 20, 13, 24
"Frustration rises as North Korea nuclear talks stall", 32, 9, 40, 2, 27, 2
"Horse teeth give details of ancient big chill", 0, 0, 12, 13, 5, 61
"Scam lures victims with free puppy offer", 14, 22, 11, 3, 20, 33
"Two Koreas to resume talks", 1, 0, 5, 47, 4, 11
"Mickelson driving force at masters", 0, 0, 0, 28, 0, 9
"England opt for Bopara over Loye", 0, 0, 0, 15, 6, 15
"Create own 'Thrillville' for a wild ride", 0, 0, 5, 33, 0, 14
"Edwards' campaign blogger quits amid Catholic controversy", 6, 7, 10, 1, 18, 33
"Judge: Preserve Anna Nicole's body", 0, 8, 0, 0, 27, 26
"Dolphins, sea lions may report for duty soon", 0, 0, 1, 33, 2, 12
"Nasdaq-LSE battle nears deadline", 0, 0, 26, 8, 0, 13
"A personal plea for HPV vaccine plan", 0, 0, 13, 20, 19, 13
"U.S. opens door for Iraqi refugees", 2, 0, 19, 46, 10, 31
"Swiss plane crashes at Moscow airport", 7, 0, 31, 0, 82, 17
"Study: napping might help heart", 0, 0, 0, 57, 0, 30
"MySpace sales surging", 0, 0, 2, 59, 2, 19
"Telecoms giant slashes 12,500 jobs", 11, 0, 19, 0, 67, 24
"Air France KLM profit rises", 0, 0, 0, 59, 0, 15
"Uganda parliament votes to send troops to Somalia", 8, 1, 39, 16, 22, 13
"King and queen reign at British film awards", 0, 0, 0, 53, 0, 23
"Murphys rule box office with 'Norbit'", 0, 0, 0, 42, 7, 28
"Thousands rally in Lebanon", 23, 8, 45, 0, 19, 20
"Yahoo's mission quest", 0, 0, 0, 13, 0, 10
"Area should get 3-5 inches of snow today", 0, 0, 2, 28, 0, 16
"Miss Brazil wins lawsuit competition", 0, 0, 6, 58, 0, 21
"Snow wreaks havoc in East, Midwest", 3, 0, 44, 0, 54, 18
"The secrets people reveal", 0, 6, 6, 0, 0, 34
"Research supports medicinal marijuana", 0, 0, 3, 32, 4, 60
"All African amputee football games kick off", 3, 0, 3, 52, 17, 16
"Group: Video shows chopper go down", 9, 0, 26, 0, 60, 23
"Sale of Chrysler possible", 0, 0, 0, 35, 16, 19
"Russia condemns terrorist acts on buses outside Beirut", 37, 14, 43, 13, 47, 5
"Technology may save India's river dolphins", 0, 0, 5, 66, 12, 20
"Airbus A380 superjumbo takes off", 0, 0, 0, 59, 3, 17
"Naps are great for chaps", 0, 0, 0, 60, 0, 31
"Female astronaut sets record", 0, 0, 0, 67, 0, 21
"Corn stoves popping up in U.S. homes", 0, 0, 0, 13, 0, 37
"Iraq closes borders with Syria and Iran", 14, 12, 38, 0, 42, 24
"The troubling ending of 'The Departed'", 11, 2, 15, 0, 36, 27
"Vietnamese bank plans IPO listing", 0, 0, 0, 23, 0, 6
"Toyota's Scion parks in Second Life", 0, 0, 0, 17, 4, 18
"Obama will run in 2008", 0, 0, 0, 49, 0, 11
"'Cagney & Lacey' finally coming to DVD", 0, 0, 0, 47, 0, 22
"Merkel: Stop Iran", 25, 0, 50, 0, 12, 12
"Salt Lake City mall shooter was teenager", 14, 1, 19, 0, 54, 50
"Female astronaut sets record", 0, 0, 0, 68, 0, 35
"Oil holds at $58", 4, 0, 3, 12, 10, 10
"Obama announces presidential bid", 0, 0, 0, 37, 0, 28
"Tell your boss: Naps are good for you", 0, 0, 0, 40, 0, 36
"Serbia rejects United Nation's Kosovo plan", 28, 10, 12, 0, 23, 15
"Amish discuss shootings", 4, 1, 28, 0, 31, 10
"Jail me, I ate Ivory Coast chocolate", 1, 17, 1, 7, 0, 25
"Can North Korea be trusted?", 15, 14, 21, 0, 6, 8
"Tourism lags in Bush's hometown", 0, 0, 0, 0, 20, 14
"Astronaut's arrest tests NASA's mettle", 7, 0, 4, 0, 16, 50
"Man gets second chance at space ride", 0, 0, 6, 55, 0, 20
"Go ahead, take a nap, science says", 0, 0, 0, 39, 0, 40
"Weekly Nielsen will 'Lost' find its way back?", 0, 0, 11, 17, 9, 11
"Brith Airways baggage charges cause confusion", 5, 13, 4, 0, 14, 18
"Indonesian with bird flu dies", 0, 0, 45, 0, 73, 21
"St. Louis poised for entertainment upswing", 0, 0, 0, 54, 0, 15
"New York City may ban iPods while crossing street", 3, 0, 8, 25, 16, 28
"Boy allegedly told to kill by mom gives up", 21, 14, 9, 16, 56, 33
"Gray wolves off endangered list", 0, 0, 18, 55, 6, 12
"Vista's hyped security will be tested", 0, 0, 8, 9, 0, 1
"UK police slammed over terror raid", 23, 11, 48, 0, 15, 17
"Mogadishu residents flee blasts", 4, 0, 35, 8, 22, 14
"Bomb kills 18 on military bus in Iran", 2, 1, 65, 0, 85, 21
"'WarioWare,' Wii make perfect fit", 0, 0, 0, 27, 0, 12
"U.S. at odds with cleric's aide", 11, 2, 27, 0, 11, 8
"Desperate Iraqi mother relies on militia for help", 14, 3, 21, 0, 67, 21
"Full details of the EU report on Iran", 6, 0, 14, 12, 11, 16
"Singer on Cowell: Glad he was mean", 0, 4, 0, 20, 2, 8
"Jones faces Europe meetings snub", 4, 2, 6, 0, 21, 9
"Beckham goal helps Real snatch win", 0, 0, 0, 53, 0, 12
"Guinea: Plan offices close as country declares emergency", 0, 0, 43, 0, 17, 14
"Japan's economy grows", 0, 0, 0, 62, 0, 15
"United Nations peacekeepers raid Haitian slum", 3, 0, 7, 28, 22, 20
"Work starts on Arctic seed vault", 0, 0, 1, 45, 0, 21
"Social networking goes mobile", 0, 0, 0, 45, 0, 20
"Beauticians cut, curl, offer stroke-prevention info", 0, 0, 0, 40, 1, 29
"Siesta cuts risk of heart disease death, study finds", 0, 0, 6, 49, 3, 55
"Thomas Cook to merge with MyTravel", 0, 0, 0, 29, 0, 20
"Nap your way to a successful career", 0, 0, 0, 37, 0, 29
"Village buried by 100 inches of snow", 3, 0, 47, 1, 50, 21
"Oprah announces new book club pick", 0, 0, 0, 39, 0, 23
"The science of love ... and lust", 0, 1, 1, 23, 0, 8
"Northeaster cancels flights, shuts schools", 11, 1, 11, 0, 47, 20
"Napping may be good for your heart", 0, 0, 0, 51, 0, 35
"Ryan O'Neal injured son's girlfriend", 32, 1, 11, 0, 51, 32
"Chrysler's Valentine's Day massacre", 0, 13, 46, 2, 60, 22
"Madrid bombings trial begins", 1, 0, 46, 34, 36, 13
"Fight starts over HPV vaccine", 14, 22, 10, 14, 11, 11
